Date	Time	Barcode	Cycle	Info	
9/13/2017	09:34:24.219	CB1C1ANXX	1	Start chemistry	
9/13/2017	09:37:01.230	CB1C1ANXX	1	End chemistry	
9/13/2017	09:37:49.843	CB1C1ANXX	1	Start Imaging	
9/13/2017	10:04:16.291	CB1C1ANXX	1	End Imaging	
9/13/2017	10:19:09.150	CB1C1ANXX	2	Start chemistry	
9/13/2017	10:23:32.172	CB1C1ANXX	2	End chemistry	
9/13/2017	10:29:34.890	CB1C1ANXX	2	Start Imaging	
9/13/2017	10:50:29.687	CB1C1ANXX	2	End Imaging	
9/13/2017	10:50:29.774	CB1C1ANXX	3	Start chemistry	
9/13/2017	10:54:46.448	CB1C1ANXX	3	End chemistry	
9/13/2017	10:55:35.455	CB1C1ANXX	3	Start Imaging	
9/13/2017	11:15:55.703	CB1C1ANXX	3	End Imaging	
9/13/2017	11:15:55.844	CB1C1ANXX	4	Start chemistry	
9/13/2017	11:20:15.557	CB1C1ANXX	4	End chemistry	
9/13/2017	11:38:01.221	CB1C1ANXX	4	Start Imaging	
9/13/2017	11:58:37.096	CB1C1ANXX	4	End Imaging	
9/13/2017	11:58:37.187	CB1C1ANXX	5	Start chemistry	
9/13/2017	12:02:58.212	CB1C1ANXX	5	End chemistry	
9/13/2017	12:20:59.245	CB1C1ANXX	5	Start Imaging	
9/13/2017	12:41:21.226	CB1C1ANXX	5	End Imaging	
9/13/2017	18:01:03.563	CB1C1ANXX	6	Start chemistry	
9/13/2017	18:05:22.317	CB1C1ANXX	6	End chemistry	
9/13/2017	18:26:52.332	CB1C1ANXX	6	Start Imaging	
9/13/2017	18:41:09.455	CB1C1ANXX	6	End Imaging	
9/13/2017	18:41:09.753	CB1C1ANXX	7	Start chemistry	
9/13/2017	18:45:30.821	CB1C1ANXX	7	End chemistry	
9/13/2017	23:56:33.415	CB1C1ANXX	7	Start Imaging	
9/14/2017	00:10:54.198	CB1C1ANXX	7	End Imaging	
9/14/2017	00:10:54.561	CB1C1ANXX	8	Start chemistry	
9/14/2017	00:15:11.263	CB1C1ANXX	8	End chemistry	
9/14/2017	00:26:44.720	CB1C1ANXX	8	Start Imaging	
9/14/2017	00:41:08.433	CB1C1ANXX	8	End Imaging	
9/14/2017	00:41:08.938	CB1C1ANXX	9	Start chemistry	
9/14/2017	00:45:26.450	CB1C1ANXX	9	End chemistry	
9/14/2017	00:56:55.993	CB1C1ANXX	9	Start Imaging	
9/14/2017	01:10:55.401	CB1C1ANXX	9	End Imaging	
9/14/2017	01:10:55.934	CB1C1ANXX	10	Start chemistry	
9/14/2017	01:15:16.063	CB1C1ANXX	10	End chemistry	
9/14/2017	01:26:33.017	CB1C1ANXX	10	Start Imaging	
9/14/2017	01:40:27.833	CB1C1ANXX	10	End Imaging	
9/14/2017	01:40:28.255	CB1C1ANXX	11	Start chemistry	
9/14/2017	01:44:47.693	CB1C1ANXX	11	End chemistry	
9/14/2017	01:56:05.176	CB1C1ANXX	11	Start Imaging	
9/14/2017	02:10:18.816	CB1C1ANXX	11	End Imaging	
9/14/2017	02:10:19.393	CB1C1ANXX	12	Start chemistry	
9/14/2017	02:14:38.166	CB1C1ANXX	12	End chemistry	
9/14/2017	02:26:07.356	CB1C1ANXX	12	Start Imaging	
9/14/2017	02:40:31.375	CB1C1ANXX	12	End Imaging	
9/14/2017	02:40:32.018	CB1C1ANXX	13	Start chemistry	
9/14/2017	02:44:49.400	CB1C1ANXX	13	End chemistry	
9/14/2017	02:56:38.407	CB1C1ANXX	13	Start Imaging	
9/14/2017	03:11:15.479	CB1C1ANXX	13	End Imaging	
9/14/2017	03:11:16.340	CB1C1ANXX	14	Start chemistry	
9/14/2017	03:15:32.607	CB1C1ANXX	14	End chemistry	
9/14/2017	03:27:24.805	CB1C1ANXX	14	Start Imaging	
9/14/2017	03:41:57.811	CB1C1ANXX	14	End Imaging	
9/14/2017	03:41:58.667	CB1C1ANXX	15	Start chemistry	
9/14/2017	03:46:16.122	CB1C1ANXX	15	End chemistry	
9/14/2017	03:57:48.593	CB1C1ANXX	15	Start Imaging	
9/14/2017	04:12:14.863	CB1C1ANXX	15	End Imaging	
